file_name,observer_name,type_grating,spatial_frequency,contrast_level,rgb_min,rgb_max,scase1_reversals,scase2_reversals
re SCSF 179.txt,re,Compound,0.251,100.0,"[0, 0, 0]","[1000, 152, 0]","[3.1622, 6.3095, 0.28183, 0.56234, 0.28183, 0.3981, 0.19952, 0.79432, 0.56234, 3.1622, 0.3981, 0.56234]","[0.19952, 0.3981, 0.28183, 0.3981, 0.28183, 0.56234, 0.28183, 0.56234, 0.28183, 0.56234, 0.0, 0.28183]"
re SCSF 138.txt,re,Compound,1.585,100.0,"[0, 0, 0]","[1000, 152, 0]","[12.589, 50.118, 6.3095, 8.9125, 1.5848, 3.1622, 2.2387, 8.9125, 3.1622, 4.4668, 2.2387, 3.1622]","[6.3095, 12.589, 6.3095, 8.9125, 4.4668, 6.3095, 4.4668, 6.3095, 3.1622, 70.794, 50.118, 10.0]"
mj SCSF 77.txt,mj,Luminance,0.631,100.0,"[0, 0, 0]","[700, 211, 0]","[1.5848, 6.3095, 3.1622, 6.3095, 2.2387, 3.1622, 2.2387, 3.1622, 1.5848, 3.1622, 2.2387, 6.3095]","[3.1622, 6.3095, 1.122, 2.2387, 1.5848, 3.1622, 2.2387, 4.4668, 3.1622, 4.4668, 3.1622, 4.4668]"
kh SCSF 40.txt,kh,Equiluminance,1.0,100.0,"[0, 0]","[705, 0, 0]","[1.5848, 3.1622, 2.2387, 4.4668, 1.122, 3.1622, 1.122, 1.5848, 1.122, 3.1622, 1.5848, 3.1622]","[1.5848, 3.1622, 2.2387, 4.4668, 1.5848, 3.1622, 2.2387, 3.1622, 2.2387, 4.4668, 1.5848, 2.2387]"
re SCSF 110.txt,re,Compound,1.0,100.0,"[0, 0, 0]","[1000, 152, 0]","[3.1622, 6.3095, 0.56234, 1.5848, 0.56234, 1.122, 0.3981, 0.56234, 0.3981, 0.79432, 0.56234, 1.122]","[0.79432, 1.5848, 0.79432, 1.5848, 1.122, 1.5848, 0.56234, 1.5848, 0.79432, 1.5848, 0.79432, 1.122]"
mj SCSF 50.txt,mj,Luminance,0.1,100.0,"[0, 0, 0]","[700, 211, 0]","[0.79432, 3.1622, 2.2387, 3.1622, 2.2387, 3.1622, 2.2387, 3.1622, 2.2387, 4.4668, 2.2387, 3.1622]","[1.5848, 3.1622, 2.2387, 3.1622, 1.5848, 2.2387, 1.122, 2.2387, 1.122, 4.4668, 1.5848, 4.4668]"
kh SCSF 78.txt,kh,Equiluminance,0.251,100.0,"[0, 0]","[705, 0, 0]","[0.79432, 6.3095, 3.1622, 4.4668, 1.5848, 3.1622, 2.2387, 6.3095, 4.4668, 6.3095, 4.4668, 6.3095]","[6.3095, 12.589, 4.4668, 8.9125, 4.4668, 6.3095, 3.1622, 8.9125, 3.1622, 8.9125, 4.4668, 12.589]"
re SCSF 79.txt,re,Luminance,0.0631,100.0,"[0, 0, 0]","[705, 107, 0]","[3.1622, 12.589, 3.1622, 4.4668, 1.5848, 3.1622, 1.5848, 2.2387, 1.5848, 3.1622, 2.2387, 4.4668]","[1.5848, 3.1622, 1.122, 6.3095, 3.1622, 6.3095, 1.122, 2.2387, 1.5848, 2.2387, 1.122, 1.5848]"
kh SCSF 47.txt,kh,Compound,0.158,100.0,"[0, 0, 0]","[705, 200, 0]","[0.3981, 1.5848, 0.79432, 1.122, 0.79432, 1.122, 0.56234, 1.122, 0.56234, 0.79432, 0.3981, 0.56234]","[25.118, 50.118, 0.3981, 0.56234, 0.3981, 0.56234, 0.19952, 0.79432, 0.56234, 0.79432, 0.56234, 0.79432]"
re SCSF 150.txt,re,Compound,0.158,100.0,"[0, 0, 0]","[1000, 152, 0]","[1.5848, 3.1622, 0.79432, 1.122, 0.56234, 0.79432, 0.3981, 0.56234, 0.3981, 1.122, 0.56234, 0.79432]","[0.3981, 0.79432, 0.3981, 0.56234, 0.28183, 0.3981, 0.19952, 1.122, 0.3981, 0.79432, 0.3981, 0.56234]"
